Student ID,Returning Customer,Elite Team Status,Weekend Academy Status,School Geographic Region
DK-201112-0,TRUE,FALSE,FALSE,Eastern District
DC-201204-1,TRUE,TRUE,FALSE,Central District
JC-201209-1,TRUE,TRUE,FALSE,Southern District
EC-201204-1,FALSE,FALSE,FALSE,Southern District
EC-201410-1,FALSE,FALSE,FALSE,Southern District
LM-201508-1,TRUE,TRUE,FALSE,Central District
AL-201410-1,TRUE,FALSE,FALSE,Southern District
AJ-201306-1,TRUE,TRUE,FALSE,Islands District
LVH-201709-1,TRUE,FALSE,TRUE,Southern District
TT-201602-1,FALSE,TRUE,FALSE,Southern District
CC-201705-1,FALSE,FALSE,FALSE,Tuen Mun District
CL-201303-1,TRUE,FALSE,FALSE,Southern District
SK-201406-1,FALSE,TRUE,FALSE,Kowloon City District
GT-201108-1,TRUE,TRUE,FALSE,Eastern District
CC-201106-1,TRUE,TRUE,FALSE,Eastern District
CH-201302-1,TRUE,TRUE,FALSE,Kowloon City District
TD-201004-1,TRUE,TRUE,FALSE,Southern District
BH-201109-1,TRUE,TRUE,FALSE,Southern District
JZ-201603-1,TRUE,FALSE,FALSE,Southern District
ZF-201008-1,TRUE,TRUE,FALSE,Southern District
WL-200805-1,FALSE,FALSE,FALSE,Tuen Mun District
LL-201806-1,FALSE,FALSE,TRUE,Wan Chai District
BY-201212-1,FALSE,TRUE,FALSE,Kowloon City District
MY-201508-0,FALSE,FALSE,FALSE,Kowloon City District
KW-201510-1,FALSE,TRUE,FALSE,Kowloon City District
CC-201009-1,TRUE,TRUE,FALSE,Eastern District
MK-201804-0,FALSE,FALSE,FALSE,Central District
OGB-201701-1,FALSE,FALSE,FALSE,Unknown
CW-201701-1,TRUE,TRUE,FALSE,Southern District
AA-200910-1,TRUE,TRUE,FALSE,Eastern District
AA-200805-1,TRUE,TRUE,FALSE,Eastern District
